Genre,Rank,Revenue_Millions,Votes,Movie_count
"Adventure,Comedy",127,58.88,79470,2
"Action,Crime,Sci-Fi",128,58.61,190833,1
"Comedy,Fantasy,Romance",129,56.82,320323,1
"Action,Comedy,Romance",130,54.79,184453,2
"Mystery,Romance,Sci-Fi",131,54.7,404884,1
"Drama,Horror,Musical",132,52.88,296289,1
"Drama,Fantasy,Music",133,50.46,92170,1
"Adventure,Horror,Mystery",134,46.98,184152,1
"Action,Adventure,Romance",135,46.94,189181,2
"Drama,Fantasy,Thriller",136,43.98,130702,1
"Action,Thriller,War",137,42.72,187077,1
"Adventure,Family",138,42.65,21405,1
"Comedy,Romance,Western",139,42.62,144779,1
"Drama,Fantasy,Mystery",140,42.27,82701,1
"Drama,History",141,40.22,550473,2
"Drama,Fantasy,Horror",142,40.19,224435,6
"Adventure,Crime,Mystery",143,38.56,69651,1
"Comedy,Drama,Musical",144,38.51,64513,1
"Action,Drama,Sport",145,38.5,439805,2
"Adventure,Comedy,Sci-Fi",146,37.809999999999995,317062,2
"Drama,Fantasy,War",147,37.62,498879,1
"Drama,Sci-Fi",148,37.24,497844,2
"Drama,Horror",149,37.1,347059,5
"Comedy,Crime,Thriller",150,36.92,92868,1
"Action,Fantasy",151,36.38,204874,1
"Biography,Drama,Mystery",152,35.71,206793,1
"Action,Horror,Thriller",153,35.19,165272,3
"Action,Adventure,Biography",154,33.0,97560,2
"Comedy,Mystery",155,30.0,89059,1
"Action,Crime,Sport",156,28.77,44553,1
"Action,Comedy,Sci-Fi",157,26.0,199813,1
"Drama,Fantasy,Musical",158,24.34,95172,1
"Action,Comedy,Mystery",159,23.62,373244,1
"Adventure,Comedy,Fantasy",160,21.56,87904,1
Sci-Fi,161,20.76,1453,2
"Comedy,Family,Fantasy",162,19.64,12435,1
"Drama,Thriller,War",163,18.7,57826,1
"Drama,Fantasy",164,17.03,182651,2
"Comedy,Horror",165,16.419999999999998,101286,2
"Comedy,Drama,Fantasy",166,15.29,222288,2
"Action,Horror,Romance",167,10.91,35003,1
"Drama,War",168,10.75,198200,3
"Action,Horror,Mystery",169,10.33,126656,1
"Adventure,Biography,Crime",170,10.14,92378,1
"Comedy,Horror,Sci-Fi",171,7.77,64351,1
"Adventure,Fantasy,Mystery",172,7.69,130153,1
"Adventure,Horror",173,7.19,28588,2
"Adventure,Drama,History",174,7.08,49190,1
"Drama,Mystery,War",175,6.86,92863,1
"Mystery,Romance,Thriller",176,5.98,38804,1
"Animation,Drama,Fantasy",177,4.68,34110,1
"Comedy,Drama,Horror",178,4.0200000000000005,108037,2
"Action,Comedy,Horror",179,3.64,206204,2
"Comedy,Drama,Thriller",180,3.08,110100,1
"Biography,History,Thriller",181,2.96,24100,1
"Action,Comedy,Drama",182,2.87,8612,1
"Comedy,Romance,Sport",183,2.34,122864,1
"Crime,Drama,Fantasy",184,2.21,199387,1
"Action,Drama,Horror",185,2.13,58782,1
"Crime,Drama,Horror",186,1.29,94301,3
"Drama,Family,Music",187,1.2,102697,1
"Animation,Fantasy",188,0.92,11482,1
"Drama,History,War",189,0.86,4304,1
Thriller,190,0.32,305642,9
"Animation,Comedy,Drama",191,0.29,4370,1
Adventure,192,0.15,2417,1
"Horror,Mystery,Sci-Fi",193,0.15,9247,1
"Action,Biography,Crime",194,0.1,93972,1
"Adventure,Drama",195,0.06,187302,1
"Mystery,Thriller,Western",196,0.0,13004,1
"Romance,Sci-Fi",197,0.0,512,1
"Drama,Romance,War",198,0.0,13711,1
"Action,Horror",199,0.0,1263,1
"Fantasy,Mystery,Thriller",200,0.0,72533,1
"Fantasy,Horror,Thriller",201,0.0,173,1
"Adventure,Biography",202,0.0,1810,1
"Animation,Drama,Romance",203,0.0,2421,1
"Comedy,Sci-Fi",204,0.0,26587,1
"Comedy,Western",205,0.0,31149,1
"Drama,Family",206,0.0,177602,1
"Thriller,War",207,0.0,5926,1
